"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color"
"23-25A-j25-1",4,"25A","Rennbahnweg - Süßenbrunner Platz",3,"0A295D","FFFFFF"
"23-25A-j25-24",4,"25A","Rennbahnweg - Süßenbrunner Platz",3,"0A295D","FFFFFF"
"23-25A-j25-31",4,"25A","Rennbahnweg - Süßenbrunner Platz",3,"0A295D","FFFFFF"
"23-26A-j25-1",4,"26A","Kagran - Groß-Enzersdorf Busbahnhof",3,"0A295D","FFFFFF"
"23-27A-j25-1",4,"27A","Kagran - Hermann-Gebauer-Straße",3,"0A295D","FFFFFF"
"23-27A-j25-24",4,"27A","Kagran - Hermann-Gebauer-Straße",3,"0A295D","FFFFFF"
"23-27A-j25-31",4,"27A","Kagran - Hermann-Gebauer-Straße",3,"0A295D","FFFFFF"
"23-27B-j25-1",4,"27B","Kagran - Satzingerweg",3,"0A295D","FFFFFF"
"23-28A-j25-90",4,"28A","Eipeldauer Straße - Breitenlee Schule",3,"0A295D","FFFFFF"
"23-29A-j25-1",4,"29A","Floridsdorf - Großfeldsiedlung",3,"0A295D","FFFFFF"
